Publisher,Dataset Count
Aeris,725
UCD School of Architecture Landscape & Civil Engineering,721
DIGITAL.CSIC,718
Instituto de Investigación de Recursos Biológicos Alexander von Humboldt,714
"Kasetsart University,",709
Universidad del Rosario,706
Lancaster University,705
ICRISAT Dataverse,704
GESIS,703
"มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,",700
Axiom Data Science,700
"UCD Library, University College Dublin, Belfield, Dublin 4, Ireland",699
Federated Research Data Repository / dépôt fédéré de données de recherche,694
Universidad de los Andes,694
University of Salford,692
Columbia University,691
UCI Machine Learning Repository,688
Bolin Centre Database,683
EnviDat,682
SPARC Portal,675
G. & T. Crampton,668
IPAC,663
University of Liverpool,660
UTM-CSIC,656
Jagiellonian University in Kraków,646
The University of Queensland,644
EIAR,642
ESPRI/IPSL,639
National Ecological Observatory Network (NEON),637
Styrelsen for Dataforsyning og Infrastruktur,636
"Atmospheric Radiation Measurement (ARM) Archive, Oak Ridge National Laboratory (ORNL), Oak Ridge, TN (US);",632
NSF National Center for Atmospheric Research,626
James Cook University,612
University of Bergen,612
"มหาวิทยาลัยราชภัฏเทพสตรี,",610
The Catalogue of Life Partnership,609
University Centre in Svalbard,605
csda - Czech Social Science Data Archive,604
Iowa State University,603
Human Brain Project Neuroinformatics Platform,596
European Journal of Taxonomy Consortium,592
KU Leuven RDR,592
ZooKeys,591
"มหาวิทยาลัยราชภัฏพระนครศรีอยุธยา,",589
UK Longitudinal Linkage Collaboration (UK LLC),585
"U.S. Geological Survey, Geomagnetism Program",584
มหาวิทยาลัยแม่โจ้,584
Brill Online,583
Flanders Marine Institute,581
FORS data service,579
Cardiff University,578
มหาวิทยาลัยราชภัฏอุตรดิตถ์,575
中国科学院遗传与发育生物学研究所所级中心,575
Carnegie Mellon University,563
NASA GeneLab,563
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,562
StoneRounds.org,560
"National Museum of Nature and Science, Japan",556
Materials Data Facility,555
King's College London,554
Smithsonian Environmental Research Center,541
DataFirst,539
Stockholm University,537
Johns Hopkins Research Data Repository,537
SAHFOS,535
FORS Datenservice,534
University of Michigan,533
Terrestrial Ecosystem Research Network (TERN),529
University of York,528
Figshare+,527
NERC EDS UK Polar Data Centre,525
Flinders University,522
Future Science Group,519
RWTH Aachen University,517
University of Arizona Research Data Repository,514
NIMH Data Repositories,513
OSU OREME,513
IOP Publishing,509
University of KwaZulu-Natal,507
TU Wien,506
AAU - Research Data Repository,506
The Archive for Marine Species and Habitats Data (DASSH),504
Greenland Ecosystem Monitoring,503
University of the Thai Chamber of Commerce,503
Brunel University London,497
National Park Service,497
The British Library,495
SupraBank,494
Durham University,492
University of Birmingham,489
American University,481
F1000 Research Limited,479
University of Virginia Dataverse,477
RWI – Leibniz Institute for Economic Research,475
The University of Nottingham,473
ESS,472
CQUniversity,466
中国科学院动物研究所科学数据中心,465
FORS - Swiss Centre of Expertise in the Social Sciences,464
มหาวิทยาลัยบูรพา,464
MX-RDR,463
University of New England,463
"University of Ljubljana, Faculty of Social Sciences, Slovenian Social Science Data Archives (ADP)",463
AraGWAS Catalog,462
National Energy Technology Laboratory - Energy Data eXchange; NETL,461
Repozytorium Danych Społecznych,458
มหาวิทยาลัยสวนดุสิต,458
"Climate Systems Analysis Group, University of Cape Town",458
DataStream,457
The United States Environmental Protection Agency’s Center for Computational Toxicology and Exposure,457
FORS,455
NHLBI BioData Catalyst,452
Advanced Research Infrastructure for Materials and Nanotechnology in Japan(ARIM),452
G-Node,450
Canadian Cryospheric Information Network,448
SUNScholarData,444
Repositori de Dades de Recerca,444
Datos de Investigación UC,441
Becaris,440
Bielefeld University,439
DANDI Archive,438
Microbiology Society,437
Redape,437
มหาวิทยาลัยนเรศวร,435
Registry of Open Data on AWS,435
OpenHeritage3D,433
contact.engineering,433
中国科学院凝聚态物质科学数据中心,430
DataSuds,426
"มหาวิทยาลัยธุรกิจบัณฑิตย์,",426
University of Alberta Library,425
Repositorio de Datos de Investigación - Universidad Andrés Bello (Chile),422
National Renewable Energy Laboratory,421
Cambridge University Library,420
Cifra LLC,419
Universidad de Chile,417
ColabFit,417
Centro di Ateneo per le Biblioteche dell'Università degli Studi di Padova,414
Dane Badawcze UW,410
National Institute for Materials Science,407
LUIS,406
Thüringische Botanische Gesellschaft,404
"มหาวิทยาลัยราชภัฏเพชรบุรี,",402
Naturhistorisches Museum Wien (NHMW),401
Research Data Repository,400
Technical University of Darmstadt,399
Centre for Environmental Data Analysis (CEDA),399
Cary Institute,390
"Palisades, NY: NASA Socioeconomic Data and Applications Center (SEDAC)",389
SciELO,389
Universität Innsbruck,389
Rice University-Kinder Institute: UDP,386
มหาวิทยาลัยราชภัฏเทพสตรี,386
Technical University of Munich,385
Observatoire des Sciences de l'Univers Nantes Atlantique (OSUNA),385
Invasive Species Specialist Group ISSG,384
University of Edinburgh,381
University of Reading,377
University of Exeter,376
La Trobe,375
Penn State Data Commons,374
UAL Dataverse,374
TRR228 Database (TRR228DB),372
NASA LANCE MODIS at the MODAPS,370
Friedrich-Schiller-Universität Jena. Fachgebiet Interkulturelle Wirtschaftskommunikation,367
VLIZ,366
Istituto Nazionale di Geofisica e Vulcanologia (INGV),362
"Department of Agriculture, Ministry of Agriculture and Cooperatives, Thailand",360
University of Copenhagen,359
ICIMOD,359
University of Manitoba,358
NIOZ,355
มหาวิทยาลัยสงขลานครินทร์,355
สมาคมวิศวกรเครื่องกลไทย,352
Laboratoire Chrono-environnement (UMR 6249),351
Karlsruher Institut für Technologie (KIT),349
UCAR/NCAR - Earth Observing Laboratory,348
Not Available,347
Mercator Ocean International,347
Pacific Salmon Foundation,345
Duke Research Data Repository,345
Leibniz Institut für Astrophysik Potsdam (AIP),345
Service de données FORS,343
Jukka Kuva,342
California Ocean Protection Council Data Repository,341
British Library,338
scholarsphere,337
NOAA Integrated Ocean Observing System,337
NERC EDS British Oceanographic Data Centre NOC,335
Open Context,334
"Oak Ridge National Laboratory (ORNL), Oak Ridge, TN (United States)",332
Institute of Marine Research,331
Freie Universität Berlin,329
dare,328
DeiC Dataverse,328
BIBB - Federal Institute for Vocational Education and Training,327
University of South-Eastern Norway,327
Mountain Scholar,324
"UCD Archives, University College Dublin",324
University of Tübingen,321
Royal Observatory of Belgium,319
Universita' della Calabria,317
Dewey Data,317
"HepSim Monte Carlo Event Repository, Argonne National Laboratory (ANL); Argonne National Laboratory (ANL), Argonne, IL (United States)",317
Ukrainian Nature Conservation Group (NGO),315
Thai Society of Mechanical Engineers,314
MWIT Media,314
University of Surrey,313
Panorama Public,312
LuftBlick,312
中国科学院亚热带农业生态研究所,311
NIE Data Repository,310
The University of North Carolina at Chapel Hill University Libraries,310
European Environment Agency,310
Universität Regensburg,307
UNSW Sydney,307
Swedish University of Agricultural Sciences,307
ECMWF,307
PhytoKeys,307
COCOON - https://cocoon.huma-num.fr (Huma-Num - CNRS),306
Instituto Politecnico de Bragança,305
Deakin University,303
Aston University,303
Social Sciences and Digital Humanities Archive – SODHA,303
Birds Canada - Oiseaux Canada,302
Kasetsart University,299
The Cancer Imaging Archive,299
มหาวิทยาลัยราชภัฏสวนดุสิต,297
CSIRO National Collections and Marine Infrastructure (NCMI) Information and Data Centre (IDC),296
SoilData,296
"Arctic Data archive System (ADS), Japan",295
UK National Biodiversity Network,295
NASA Level 1 and Atmosphere Archive and Distribution System Distributed Active Archive Center,294
Pangloss,294
Research Institute for Nature and Forest (INBO),292
DEEDSHub,290
Queensland University of Technology,289
University of Kentucky Libraries,289
NYCU Dataverse,288
Erasmus University Rotterdam (EUR),287
University of Turin,286
University of Rochester,286
Columbia Basin Water Hub,285
HuBMAP,284
NSD - Norwegian Centre for Research Data,284
IFREMER,283
Peking University Open Research Data Platform,282
มหาวิทยาลัยนานาชาติแสตมฟอร์ด,281
Институт физики твердого тела РАН,281
"Atmospheric Radiation Measurement (ARM) Archive, Oak Ridge National Laboratory (ORNL), Oak Ridge, TN (US)",278
Queen's University Belfast,278
Erasmus MC,278
Landcare Research,274
Biodiversity Data Journal,272
กรมประมง,270
"Center for Science and Technology Policy Research, Cooperative Institute for Research in Environmental Sciences, University of Colorado Boulder",270
CyVerse Data Commons,269
USC Mark and Mary Stevens Neuroimaging and Informatics Institute,268
"UK Polar Data Centre, Natural Environment Research Council, UK Research & Innovation",267
British Geological Survey,265
Carbon Dioxide Information Analysis Center (CDIAC),264
"University College, Dublin. Classical Museum",262
Cornell University Library,261
University of Western Australia,260
NICHD Data and Specimen Hub,260
Lund University,259
Institute of Geophysics Polish Academy of Sciences,259
NERC EDS National Geoscience Data Centre,258
BSB - Bavarian State Library,258
University Medical Center Groningen,256
INVEMAR,256
Royal Danish Library,255
Institute for Health Metrics and Evaluation (IHME),254
Joint Graduate School of Energy and Environment,254
TRDMC,254
Graz University of Technology,253
HSRC,253
RMIT University,252
SMU Research Data Repository (RDR),252
มหาวิทยาลัยเทคโนโลยีราชมงคลธัญบุรี,251
Vrije Universiteit Amsterdam,250
Tethys RDR,249
Helmholtz-Zentrum für Umweltforschung,249
IPGP Research Collection,248
EMODnet Chemistry,247
University of Illinois Urbana-Champaign,246
มหาวิทยาลัยราชภัฏเลย,244
ICOS Carbon Portal,244
HSRC - Human Science Research Council SA,243
MycoKeys,242
Princeton University,241
มหาวิทยาลัยราชภัฏเพชรบูรณ์,238
IEEE Dataport,237
University of South Australia,235
South African National Biodiversity Institute,235
AGH University of Krakow,235
มหาวิทยาลัยราชภัฏมหาสารคาม,235
Tecnológico de Monterrey,234
OMEGA-PSIR,234
RANGSIT UNIVERSITY,233
UC Berkeley Library Dataverse,231
Northumbria University,230
IGB Leibniz-Institute of Freshwater Ecology and Inland Fisheries,230
Umeå University,228
QsarDB repository (http://qsardb.org/),228
"คณะนิติศาสตร์ มหาวิทยาลัยธรรมศาสตร์,",227
"Max Planck Institute for Biogeochemistry, Jena",226
LMU-ifo Economics & Business Data Center (EBDC),226
FORS - Swiss Center for Expertise in Social Research,226
Deutsche Bundesbank,225
Museum für Naturkunde Berlin (MfN) - Leibniz Institute for Evolution and Biodiversity Science,225
ИП Соколова М.В.,224
"British Oceanographic Data Centre, Natural Environment Research Council",223
Western Sydney University,220
中国科学院中国科学技术大学所级中心,219
Karolinska Institutet,218
Utah State University,217
"Princeton Plasma Physics Laboratory (PPPL), Princeton, NJ (United States)",217
Alma Mater Studiorum - Università di Bologna,217
VTTI,217
University of Bologna,217
CROSSDA,216
Marine Data Archive,215
Dunas,215
Centro de Integração de Dados e Conhecimento para Saúde,214
United States. Department of Transportation. Bureau of Transportation Statistics,214
มหาวิทยาลัยทักษิณ,213
"Royal Holloway, University of London",211
Sciamus GmbH,210
National Institutes of Health,210
Leibniz-Institut für Ost- und Südosteuropaforschung,208
Norsk samfunnsvitenskapelig datatjeneste,208
The NIH Figshare Archive,207
ELG,207
한국지질자원연구원,207
Materials Commons,206
Biodiversity Exploratories,206
"Brockington and Associates, Inc.",204
Universitätsbibliothek der Ludwig-Maximilians-Universität München,203
Hokkaido University,203
"Office of Cultural Resource Management, Arizona State University",203
Heriot-Watt University,202
Simon Bolivar University,202
The Australian National University Data Commons,202
University College Dublin,200
National Science Museum of Korea,200
"คณะวารสารศาสตร์และสื่อสารมวลชน มหาวิทยาลัยธรรมศาสตร์,",200
Catalogues Dataverse,200
National Biodiversity Data Centre,199
Dataverse,199
OSF Registries,198
Bundesamt fuer Strahlenforschung (STOREDB),198
Basque Government,198
My University,197
Finnish Meteorological Institute,195
The University of Western Australia,193
Leibniz Centre for Agricultural Landscape Research (ZALF),193
Marine Biological Association,193
IADB,193
ISSDA,191
Schloss Dagstuhl – Leibniz Center for Informatics,190
UCAR/NCAR - Research Data Archive,189
KISTI Data Repository,189
Edaphobase,188
Eawag: Swiss Federal Institute of Aquatic Science and Technology,187
NASA Precipitation Processing System,187
"MPDL Keeper Service, Max-Planck-Gesellschaft zur Förderung der Wissenschaften e. V.",187
"คณะเกษตรศาสตร์ มหาวิทยาลัยขอนแก่น,",186
Lincoln University,186
United States Geological Survey,186
Health Research Alliance,186
Hakai Institute,185
GNS Science,185
Landcare Research NZ Ltd,184
ETH Zurich,184
UiT,184
Estonian University of Life Sciences,184
Office for National Statistics,183
มหาวิทยาลัยราชภัฏนครศรีธรรมราช,183
Insper,183
Apeiron,183
Heritage – Semantic Tools and Interoperability Survey,183
ACTRIS-ARES Data Centre,182
DASSI - Data Archive for Social Sciences in Italy,182
Instituto de Investigaciones Ambientales del Pacífico John Von Neumann - IIAP,181
University of Tasmania,181
Africa Health Research Institute,181
IRCCS San Raffaele Scientific Institute,181
"U.S. Antarctic Program Data Center (USAP-DC), via National Snow and Ice Data Center (NSIDC)",180
"Next Generation Ecosystems Experiment - Arctic, Oak Ridge National Laboratory (ORNL), Oak Ridge, TN (US)",180
NASA Crustal Dynamics Data Information System,179
University of Freiburg,177
Mannheim University Library,175
IsoArcH,175
มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,175
MapBiomas Data,174
University of South Africa,173
University of Lincoln,171
DigitalHub. Galter Health Sciences Library & Learning Center,171
University of Würzburg,171
The World Bank,170
Stamford International University,169
Technische Universität Dresden,168
Data Integration and Analysis System  (DIAS),168
NIDDK Central Repository,168
NIH Rapid Acceleration of Diagnostics Data Hub (RADx Data Hub),168
Northwestern University,167
Edinburgh DataVault,166
"Chulalongkorn University,",165
PSI,165
unknown,165
Atlas of Living Australia,163
Senckenberg,163
